cust_no,age_gender,update_dt
07667,50대이상 M,20180829
07803,30대 F,20180829
07803,30대 F,20180829
07874,40대 M,20180829
07895,20대 F,20180829
08113,30대 F,20180829
08249,50대이상 M,20180829
08521,30대 M,20180829
08975,50대이상 M,20180829
09200,50대이상 M,20180829
09599,40대 M,20180829
09653,50대이상 M,20180829
09653,50대이상 M,20180829
09653,50대이상 M,20180829
09724,40대 F,20180829
09724,40대 F,20180829
09725,40대 F,20180829
09925,40대 M,20180829
09974,40대 F,20180829
10208,30대 F,20180829
10242,20대 F,20180829
10671,30대 F,20180829
10845,30대 F,20180829
10902,30대 M,20180829
10953,20대 M,20180829
11046,40대 F,20180829
11158,20대 F,20180829
11681,30대 F,20180829
11681,30대 F,20180829
11718,40대 F,20180829
11765,50대이상 M,20180829
11825,20대 M,20180829
12241,30대 F,20180829
12528,30대 F,20180829
12551,20대 F,20180829
12924,20대 M,20180829
13321,50대이상 M,20180829
13440,20대 M,20180829
13507,30대 F,20180829
14163,30대 F,20180829
14305,30대 F,20180829
14575,40대 M,20180829
14825,40대 M,20180829
14942,40대 M,20180829
14974,50대이상 M,20180829
14974,50대이상 M,20180829
15043,50대이상 M,20180829
15380,50대이상 M,20180829
15665,30대 M,20180829
15877,30대 F,20180829
15996,30대 F,20180829
16147,20대 F,20180829
16183,40대 F,20180829
17380,30대 F,20180829
17457,40대 M,20180829
17558,30대 F,20180829
17633,50대이상 M,20180829
17633,50대이상 M,20180829
17807,40대 F,20180829
17846,30대 F,20180829
17846,30대 F,20180829
17946,30대 F,20180829
18109,20대 M,20180829
18169,30대 F,20180829
18209,30대 F,20180829
18962,20대 F,20180829
00214,30대 M,20180829
00791,30대 M,20180829
01305,30대 F,20180829
01305,30대 F,20180829
01608,50대이상 M,20180829
01871,30대 M,20180829
02470,40대 F,20180829
02667,30대 M,20180829
02675,30대 F,20180829
02882,30대 M,20180829
03028,30대 M,20180829
03041,30대 M,20180829
03275,50대이상 M,20180829
03275,50대이상 M,20180829
03506,40대 F,20180829
03679,50대이상 M,20180829
04203,40대 F,20180829
05108,30대 F,20180829
05501,30대 M,20180829
05777,40대 M,20180829
05910,20대 F,20180829
05940,30대 M,20180829
06058,40대 F,20180829
06058,40대 F,20180829
06200,40대 M,20180829
06220,30대 F,20180829
06235,30대 F,20180829
06635,40대 M,20180829
06635,40대 M,20180829
06635,40대 M,20180829
06703,20대 M,20180829
07032,30대 M,20180829
07088,40대 F,20180829
07342,20대 M,20180829
07427,40대 M,20180829
07427,40대 M,20180829
07458,50대이상 M,20180829
07486,30대 F,20180829
07680,30대 F,20180829
08117,30대 M,20180829
08117,30대 M,20180829
08266,50대이상 M,20180829
08603,40대 M,20180829
08667,30대 F,20180829
08770,40대 M,20180829
08796,50대이상 M,20180829
09066,30대 F,20180829
09185,30대 F,20180829
09211,40대 F,20180829
09211,40대 F,20180829
09256,30대 F,20180829
09303,30대 M,20180829
09398,40대 M,20180829
09484,20대 M,20180829
09484,20대 M,20180829
09637,30대 F,20180829
09748,30대 F,20180829
09994,50대이상 M,20180829
10398,30대 F,20180829
10398,30대 F,20180829
10593,50대이상 M,20180829
10735,30대 M,20180829
10735,30대 M,20180829
10773,20대 M,20180829
11259,50대이상 M,20180829
11303,30대 F,20180829
11335,40대 F,20180829
11351,40대 F,20180829
11384,30대 M,20180829
11407,30대 M,20180829
12017,50대이상 M,20180829
12134,30대 M,20180829
12148,30대 M,20180829
12359,40대 F,20180829
12449,30대 M,20180829
12449,30대 M,20180829
12499,30대 F,20180829
12559,30대 M,20180829
12877,20대 M,20180829
13540,30대 F,20180829
14280,30대 M,20180829
14477,40대 M,20180829
14662,40대 F,20180829
14664,30대 M,20180829
14682,50대이상 M,20180829
14816,30대 F,20180829
15215,40대 M,20180829
15630,30대 F,20180829
15869,30대 M,20180829
15869,30대 M,20180829
15876,40대 M,20180829
16096,30대 M,20180829
16453,30대 F,20180829
16526,40대 F,20180829
16526,40대 F,20180829
16669,30대 M,20180829
16698,20대 M,20180829
17162,40대 M,20180829
17350,20대 M,20180829
17350,20대 M,20180829
17488,50대이상 M,20180829
17588,30대 F,20180829
17635,30대 F,20180829
17635,30대 F,20180829
18232,50대이상 M,20180829
18232,50대이상 M,20180829
18947,30대 M,20180829
00382,30대 M,20180829
00484,40대 M,20180829
00484,40대 M,20180829
